ast,blk,dreb,fg3a,fg3m,fg_pct,fga,fgm,fta,ftm,id,pf,pts,reb,stl,turnover,game_id,home_team_id,home_team_score,visitor_team_id,visitor_team_score,season,player_id,team_id,team_score,min_played,eFG%,TS%,oreb,PER
4,0,3,6,3,0.556,9,5,1,1,744136,2,14,4,3,0,29836,16,101,14,88,2015,124,16,101,29.616666666666667,72.22222222222221,74.15254237288136,1,1.0467079347214405
0,1,0,6,2,0.273,11,3,6,6,759664,4,14,1,0,2,32048,7,91,24,78,2015,2015,24,78,20.583333333333332,36.36363636363637,51.31964809384164,1,0.38866396761133604
5,0,7,11,4,0.6,20,12,3,2,800319,2,30,7,2,8,35547,11,117,6,112,2016,237,6,112,40.166666666666664,70.0,70.35647279549718,0,1.08298755186722
3,0,9,4,0,0.25,20,5,4,1,817918,3,11,11,0,1,33156,3,100,21,95,2017,17,21,95,36.93333333333333,25.0,25.275735294117645,2,0.798736462093863
3,0,7,0,0,0.333,6,2,0,0,817942,1,4,8,1,2,35305,24,99,30,109,2017,179,30,109,23.333333333333332,33.33333333333333,33.33333333333333,1,1.1785714285714286
1,1,0,6,2,0.5,10,5,1,1,818002,3,13,1,0,2,33454,6,123,1,114,2017,112,6,123,26.716666666666665,60.0,62.26053639846744,1,0.4304429195258889
5,2,2,3,2,0.667,6,4,2,2,835490,0,12,2,0,0,34925,6,132,28,129,2017,487,28,129,20.75,83.33333333333334,87.20930232558139,0,1.2289156626506024
0,0,4,4,2,0.5,4,2,2,2,9340566,2,8,8,1,1,473975,12,121,3,129,2021,666468,12,121,26.0,75.0,81.9672131147541,4,1.153846153846154
2,0,2,0,0,0.833,6,5,6,2,612,1,12,6,1,2,24,15,131,1,117,2018,372,1,117,18.9,83.33333333333334,69.44444444444444,4,1.4285714285714286
10,0,0,6,2,0.579,19,11,0,0,10486,3,24,0,2,2,396,7,114,1,107,2018,490,1,107,35.21666666666667,63.1578947368421,63.1578947368421,0,0.8802650260293421
1,0,0,1,1,0.6,10,6,2,1,42106,4,14,4,2,0,9172,7,91,24,88,1991,602,7,91,34.0,65.0,64.33823529411764,4,0.7205882352941176
0,0,0,0,0,0.5,4,2,0,0,52596,1,4,0,0,0,5520,4,132,10,113,1991,643,4,132,12.0,50.0,50.0,0,0.16666666666666666
12,0,2,5,2,0.611,18,11,4,2,63138,3,26,2,2,3,1596,2,112,6,114,1991,529,6,114,43.0,66.66666666666666,65.78947368421052,0,0.9302325581395349
3,0,1,3,2,0.333,9,3,4,3,73547,1,11,2,3,2,5259,26,96,11,102,1992,520,11,102,36.0,44.44444444444444,51.11524163568774,1,0.4305555555555555
1,0,2,0,0,0.545,11,6,14,11,96667,1,23,6,2,2,6495,23,117,13,98,1993,860,13,98,27.0,54.54545454545454,67.01631701631702,4,1.2777777777777777
0,0,0,0,0,0.25,4,1,0,0,96680,1,2,0,1,2,7056,1,92,5,81,1993,717,1,92,12.0,25.0,25.0,0,-0.16666666666666666
