id,first_name,last_name,position,team_id
2396,Anthony,Roberts,,8
2456,Allen,Leavell,,11
2933,Scottie,Pippen,,5
3067,Jeff,Sanders,,4
17896096,Matt,Mitchell,F,27
17895912,Ahmad,Caver,G,12
17895711,Caleb,Agada,G-F,8
46391376,Mac,Otten,,38
79,Jimmy,Butler,G-F,16
46409588,George,Karl,,27
165,Markelle,Fultz,G,22
3547271,Aleksej,Pokusevski,C,21
46403318,Bobby,Lewis,,10
17896027,Ziaire,Williams,G-F,15
182,Jerami,Grant,F,25
24572055,Olivier,Sarr,C,21
746,John,Crotty,,29
1238,Jason,Miskiri,,4
1291,Khalid,El-Amin,G,5
1532,DJ,Mbenga,,7
1641,David,Lee,,20
2088,Tyler,Ennis,,24
2098,Will,Cherry,,6
2276,Wes,Unseld,,30
2559,Andre,McCarter,,30
2751,Anthony,Jones,,30
2962,Mark,Jackson,,20
3015,Benoit,Benjamin,,13
17895941,Filip,Petrusev,C,23
17553972,Ryan,Taylor,G,10
355,Elie,Okobo,G,24
51,Eric,Bledsoe,G,25
46389613,Butch,Van,,20
162,Melvin,Frazier Jr.,G-F,21
46390253,Eddie,Ehlers,,2
46403829,Jay,Miller,,1
46405429,Paul,Ruffner,,5
46,Khem,Birch,C,27
46404360,Otto,Moore,,9
46392969,Alan,Sawyer,,42
46397128,Dick,Duckett,,26
555,Cedric,Ceballos,,24
702,Bison,Dele,,22
1370,Etan,Thomas,,30
1372,Jason,Richardson,,10
1423,Marko,Jaric,,13
1444,Juaquin,Hawkins,,11
1539,Lionel,Chalmers,,13
2000,Luke,Zeller,,24
2004,Tony,Wroten,,15
2375,Tom,Abernethy,,10
2434,Lonnie,Shelton,,21
2719,Carey,Scurry,,29
2863,Danny,Ferry,,6
17553943,Alex,Antetokounmpo,F,26
354,Jahlil,Okafor,C,1
46389587,Cecil,Hankins,,38
3547305,Nate,Darling,,13
3547215,Killian,Tillie,F-C,15
46389630,Dick,Schulz,,41
46399182,Joe,Buckhalter,,26
46406968,Lloyd,Neal,,25
46407003,Louie,Nelson,,30
46405425,Charlie,Yelverton,,25
284,Robin,Lopez,C,6
3092,Haywood,Highsmith,,16
46408540,Don,Smith,,23
715,Tracy,Moore,,7
720,Cedric,Hunter,,4
750,Latrell,Sprewell,,10
1194,Keon,Clark,,8
1258,John,Celestand,,14
1300,Mark,Madsen,,14
1485,Raul,Lopez,,29
1516,Brian,Cook,,14
1707,Sergio,Rodriguez,,25
1952,Gustavo,Ayon,,19
2008,Pablo,Prigioni,,20
2125,David,Wear,,26
2473,Mack,Calvin,,29
2632,Vince,Taylor,,20
2718,Perry,Moss,,30
2850,Dee,Brown,,2
321,Nikola,Mirotic,F,17
17895733,Blake,Francis,G,9
17895698,Jeremiah,Tilmon,C,22
666794,Mychal,Mulder,G,16
46390230,Joseph,Reiser,,45
46391937,Howie,Janotta,,45
46395056,Dick,Farley,,23
46399698,George,Blaney,,20
46405377,Charlie,Paulk,,17
46394016,George,McLeod,,45
17553983,Trevelin,Queen,G,12
373,Jakob,Poeltl,C,28
511,Duane,Ferrell,,1
768,Frank,Johnson,,24
996,Richard,Manning,,15
1003,John,Coker,,24
1591,Mark,Jones,,22
1774,Joel,Anthony,,16
2145,JJ,O'Brien,,29
2254,Dave,Cowens,,2
2662,Pace,Mannion,,10
3003,Steve,Scheffler,,4
3008,Steve,Kerr,,6
230,Wes,Iwundu,F,1
157,Yogi,Ferrell,G,13
10,Al-Farouq,Aminu,F,2
134,Damyean,Dotson,G,20
666464,Ignas,Brazdeikis,F,22
666517,Tyler,Cook,C,5
46395047,Paul,Nolen,,45
46393484,Bob,Wilson,,1
46397649,Larry,Staverman,,26
46406457,Jake,Jones,,26
586,Otis,Thorpe,,11
639,Bernard,King,,30
703,Chuck,Nevitt,,5
755,Anthony,Pullard,,17
1110,Cedric,Henderson,,6
1232,Steve,Francis,G,11
1391,Brendan,Haywood,,30
1433,Amar'e,Stoudemire,,24
1460,Sean,Lampley,,16
1487,Jason,Kapono,,6
1552,Tony,Allen,,2
1570,Matt,Freije,,19
2217,Jamel,Artis,,22
2624,Dave,Magley,,6
2786,Nate,Blackwell,,27
2954,Muggsy,Bogues,,4
3065,Anthony,Frederick,,26
18678048,Balsa,Koprivica,C,9
10384980,Myles,Powell,G,23
46389593,Bob,Faught,,39
46390805,Goebel,Ritter,,20
46398660,Bobby,Smith,,14
46394001,Eddie,Miller,,45
46409572,Andy,Walker,,29
46402261,John,Clemens,,20
532,Terry,Catledge,,22
1182,Bryce,Drew,,11
1325,Brian,Cardinal,,9
1524,Desmond,Penigar,,22
1686,Steve,Novak,,11
1761,Mario,West,,1
1964,Greg,Smith,,11
2019,Diante,Garrett,,24
